run_id,status,result,dataset,model,embedding,n_Gain,n_Start,run,last_cycle
GFP_georgiev_lightgbm_nGain20_nStart100_ddG_top_start0.15_nCycles40_normedScores_run6,finished,failure,GFP,lightgbm,georgiev,20,100,6,11
GFP_one_hot_svr_nGain50_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run5,finished,success,GFP,svr,one_hot,50,3000,5,1
YAP1_blosum90_rf_nGain100_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run8,finished,success,YAP1,rf,blosum90,100,3000,8,1
PHOT_blosum50_svr_nGain20_nStart100_ddG_top_start0.15_nCycles40_normedScores_run1,finished,failure,PHOT,svr,blosum50,20,100,1,14
PHOT_georgiev_linear_nGain50_nStart100_ddG_top_start0.15_nCycles40_normedScores_run5,finished,failure,PHOT,linear,georgiev,50,100,5,14
RASK_blosum90_fnn_nGain50_nStart100_ddG_top_start0.15_nCycles40_normedScores_run8,finished,success,RASK,fnn,blosum90,50,100,8,13
RASK_blosum50_svr_nGain50_nStart100_ddG_top_start0.15_nCycles40_normedScores_run6,finished,success,RASK,svr,blosum50,50,100,6,3
RASK_blosum90_rf_nGain100_nStart200_ddG_top_start0.15_nCycles40_normedScores_run9,finished,success,RASK,rf,blosum90,100,200,9,10
YAP1_georgiev_fnn_nGain20_nStart200_ddG_top_start0.15_nCycles40_normedScores_run10,finished,success,YAP1,fnn,georgiev,20,200,10,8
RASK_one_hot_fnn_nGain50_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run6,finished,failure,RASK,fnn,one_hot,50,3000,6,13
RASK_georgiev_elastic_net_nGain10_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run2,finished,failure,RASK,elastic_net,georgiev,10,1000,2,16
GFP_georgiev_linear_nGain10_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run3,finished,success,GFP,linear,georgiev,10,1000,3,25
PHOT_one_hot_lightgbm_nGain100_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run6,finished,failure,PHOT,lightgbm,one_hot,100,1000,6,12
GFP_blosum50_fnn_nGain10_nStart500_ddG_top_start0.15_nCycles40_normedScores_run8,finished,failure,GFP,fnn,blosum50,10,500,8,13
GFP_blosum90_svr_nGain10_nStart500_ddG_top_start0.15_nCycles40_normedScores_run6,finished,success,GFP,svr,blosum90,10,500,6,5
